,Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Garage_Size,Neighborhood_Quality,House_Price
581,4646,1,2,2016,0,9,965317.5061019752
582,1216,4,2,1973,1,1,299226.76708907617
583,2323,5,2,1976,2,2,548288.2433774915
584,2581,1,2,1989,1,3,570399.7427677898
585,3919,4,2,2012,2,3,875382.7427446679
586,2074,2,3,2010,2,8,473734.215407891
587,749,1,3,1985,1,7,146020.40342022013
588,1173,3,1,1973,1,6,288382.46046148066
589,2665,1,3,1973,2,10,537619.5908056167
590,1270,1,3,1953,2,10,264215.33977452776
591,4462,4,2,2016,1,4,1010589.32913523
592,4863,2,3,1983,0,9,1047149.2482085732
593,2484,3,2,2006,1,1,562238.4809757017
594,1577,5,1,1998,2,2,370970.3860521568
595,735,5,1,2002,1,4,238459.1158908021
596,888,1,3,1972,0,3,215993.8951157028
597,3537,4,1,2018,1,1,769763.673034886
598,2348,4,3,2002,2,5,594755.3248280677
599,3314,5,1,2011,1,7,779336.1178319983
600,3874,3,2,1990,2,2,820831.6964017673
601,3778,2,2,2006,2,5,818613.7108034128
602,1752,3,2,2009,1,6,432824.65856336313
603,4481,2,2,2003,2,7,996696.835850388
604,2622,5,3,2019,2,1,604936.830452781
605,2650,2,1,2006,0,7,596659.3685492761
606,1829,4,3,1959,0,4,417900.59093719104
607,1858,1,2,1989,0,8,376032.361536576
608,2982,1,3,1956,0,4,626454.2784147046
609,2517,5,1,1987,2,6,629609.0984680437
610,1831,4,3,2010,1,9,432687.983790756
611,4844,3,1,1952,2,5,979926.724614952
612,4761,4,3,2000,2,4,1041122.1131331322
613,1858,1,1,1996,2,8,433664.2275283448
614,3677,1,1,2017,1,9,806645.0448680979
615,2628,4,2,1987,0,4,576020.0443075488
616,2680,4,1,1985,2,3,600207.3340100806
617,637,1,2,1990,2,8,190828.13988469375
618,3972,3,2,2018,0,5,878049.2511558104
619,3332,5,2,1962,2,2,704212.5239765074
620,4079,5,3,2007,1,10,909836.08484369
621,3531,4,3,1999,2,9,771922.849821314
622,4664,5,3,1979,2,3,1010183.5001098072
623,3093,1,3,2011,0,2,650748.6977489772
624,4800,1,1,1974,2,1,1018026.9936582922
625,4318,4,1,1976,2,8,897666.0008462978
626,4638,4,3,2000,1,3,998439.2371139774
627,4323,4,1,2006,0,7,938864.8192625764
628,4542,3,1,1996,0,1,978835.1052830342
629,2406,5,2,1988,1,1,533178.2402465394
630,1260,4,2,1965,2,9,278644.6693366641
631,3945,2,2,1971,0,8,846346.3280926006
632,1399,2,2,2003,0,3,310271.2636685363
633,4955,1,1,1970,2,6,995441.7102207708
634,3447,5,3,2021,2,3,830557.1687018349
635,2219,4,1,1965,0,4,470083.2903669343
636,780,2,1,2008,2,1,217462.4450570884
637,3766,5,1,1980,0,5,787281.7359378719
638,2387,1,2,1991,2,1,508927.8041870647
639,3766,3,2,1981,2,1,799178.3100544005
640,1166,5,2,2008,1,10,319601.3915396029
641,4688,5,3,1983,2,7,1004456.2194818492
642,1171,3,1,1958,1,6,206781.75744307123
643,2469,5,3,1960,2,2,583183.4309103092
644,4656,1,2,1959,0,2,913774.3890331694
645,3622,1,3,1966,0,7,734501.9542665192
646,4400,3,1,2017,2,1,987241.429730274
647,1023,4,1,1997,2,2,287822.3768776313
648,2893,2,2,2001,0,8,607535.6340463364
649,3617,4,2,1974,2,6,804727.9577270229
650,3093,5,3,1970,1,2,665369.9589318279
651,2468,2,2,2014,1,7,540221.2539417966
652,2253,3,2,2012,1,4,551444.6316158974
653,2796,3,1,2000,1,2,621460.4905680827
654,2761,2,2,1985,1,6,596339.5709584419
655,2786,1,2,2015,2,9,617979.8529750025
656,4702,2,1,1964,2,9,967780.6667222162
657,3378,5,1,1988,1,8,734156.8160862669
658,4643,1,3,2019,2,3,1021134.6211894122
659,4144,3,2,1950,2,3,834328.5793736472
660,4932,2,1,1972,1,2,1040389.0481357794
661,2555,4,3,1988,2,5,602549.2781823011
662,1776,4,3,2006,2,4,468699.4412955908
663,3266,5,2,1983,2,7,738226.711971728
664,802,4,2,1990,1,4,237185.9132691445
665,1138,2,3,2022,2,9,315357.48101832974
666,555,2,1,1962,0,2,111626.85342361582
667,1025,4,3,2019,0,6,282660.2192955372
668,4623,2,2,1955,1,7,972040.0599877926
669,2625,5,1,2001,0,4,625113.6084591298
670,3787,1,1,1952,1,6,745395.8553692064
671,864,5,3,2012,0,7,250123.469112831
672,2146,5,2,1998,0,4,510968.1406545
673,1418,2,3,1996,0,8,353161.46132211224
674,3297,1,3,2004,1,9,740330.4672038732
675,2031,2,3,2013,1,1,496840.5291926289
676,3845,3,1,2014,2,7,888020.5575222683
677,2406,2,1,2016,1,9,522309.4058721854
678,3586,2,2,1964,0,10,724033.5604571347
679,2575,2,2,1981,0,5,545482.7420093057
680,1213,1,3,2017,1,2,305026.7707546245
681,1562,2,3,1967,1,10,355453.1829292205
682,2476,1,3,1992,1,6,513292.75970622
683,1796,4,2,1984,2,7,442278.7666177528
684,625,3,1,2007,0,2,185569.89426877032
685,4096,1,1,1982,2,2,826494.0471232897
686,3783,4,3,1963,2,10,839074.0204275192
687,2103,1,3,1983,0,10,474659.86005527806
688,566,1,3,2010,0,1,158454.83915736206
689,732,3,3,1953,1,4,190802.0703078011
690,2656,5,2,2008,1,7,619516.332475993
691,1669,5,1,1978,2,9,416605.60725276713
692,2658,1,3,1955,1,3,551324.4886576998
693,4706,2,2,1998,1,7,1000021.7606809204
694,1993,4,3,1989,0,7,462185.7241886994
695,4507,2,3,2014,0,7,985499.1963159838
696,2972,2,1,2018,1,2,629290.1434469345
697,3160,1,3,1976,0,6,627322.941247679
698,3239,1,1,1955,1,2,638451.4027889116
699,2261,1,1,1962,0,6,439898.8032648414
700,4014,1,1,2013,0,10,821146.2339055584
701,2475,5,2,2011,0,3,594005.0065233838
702,2862,1,2,1968,0,2,613658.1099473296
703,1376,5,1,1992,1,6,335417.6369743354
704,4312,5,3,1969,2,2,919941.4098368196
705,3948,1,1,2017,0,5,823529.5488742903
706,1812,3,3,1993,1,2,415639.6454079276
707,1960,4,1,1972,1,3,407600.3914029592
708,3209,2,3,1951,0,3,694271.1623037981
709,2824,5,2,1971,2,6,591174.1368528144
710,2233,4,3,2006,0,6,525760.8806101802
711,2105,3,1,2021,1,10,472291.952524426
712,3063,2,2,1956,2,3,647832.2075906589
713,3921,2,3,2005,1,3,889364.8170683798
714,4017,5,3,2016,0,1,935451.9335719376
715,2897,1,3,1965,2,7,625246.1179756841
716,4235,3,3,2000,1,8,917235.4105319374
717,3370,5,3,2021,1,2,769318.6038261497
718,1660,3,2,1961,1,4,357130.1202818031
719,742,1,2,2002,0,10,181191.0670440434
720,3090,1,2,1954,2,7,641013.919122572
721,1563,5,2,1976,0,8,336153.4280264353
722,4824,1,1,1961,0,1,924012.9418488424
723,3095,4,2,1966,0,4,670894.0581247887
724,1419,2,3,1955,2,6,312202.08717502066
725,505,5,3,1954,0,3,159121.4656145035
726,967,3,2,2006,0,5,240302.2199712505
727,4670,4,3,1977,0,10,1001847.3602497705
728,503,5,2,2018,0,9,206042.3513164644
729,1145,1,3,2008,1,3,275063.0991470561
730,617,1,1,1982,0,5,147206.86576297088
731,3428,1,1,2011,1,8,710065.5617561329
732,3051,1,2,1999,0,6,624411.6024682868
733,4789,3,2,1968,2,4,988358.2476373828
734,1346,4,2,2018,1,8,351280.4162027617
735,3262,2,3,2015,1,3,696027.2851612554
736,1641,3,2,1996,1,3,364016.40122898977
737,2310,3,1,1988,1,4,494537.5115454976
738,1223,2,3,2017,2,9,307116.6791374497
739,724,2,2,1982,0,5,194628.72736203528
740,4708,1,3,1962,1,8,949404.2006657254
741,2548,3,3,2003,2,6,574912.7662317117
742,4915,5,2,1956,1,3,1011770.8785945608
743,2073,2,3,1963,0,8,438849.2345292175
744,2328,2,1,1968,1,9,527715.5373919866
745,2417,4,1,2003,2,8,580272.8715936985
746,4734,5,3,1969,0,4,1021159.6924822456
747,2526,5,2,1978,2,6,567108.4842135326
748,4244,2,3,1973,0,1,926488.454118578
749,1401,1,1,2012,0,4,321278.1795200379
750,2539,4,3,2006,0,8,572608.4313965299
751,509,5,3,1957,1,1,140538.08318538152
752,760,2,1,2011,2,3,211508.5901215244
753,2173,5,3,1978,2,1,552158.5008426193
754,2719,4,3,1966,2,9,623326.5868033242
755,2560,4,2,2015,0,2,622100.1895022333
756,4213,3,2,1955,1,9,845932.4082879503
757,2119,2,1,2007,0,4,468251.3632686849
758,820,4,1,2018,2,2,236054.0002831533
759,1842,3,1,1977,1,4,405144.670068021
760,2876,3,2,2011,1,10,663568.5126665218
761,3332,5,1,1990,1,6,755402.3726912518
762,3324,5,1,2018,2,7,759882.5851426219
763,2494,3,1,1990,1,3,578870.7619594942
764,3458,5,2,1998,1,3,760720.1464642045
765,2538,4,3,1998,0,10,611557.8808542505
766,3990,1,1,2020,0,8,851283.9163168798
767,4177,4,3,1952,1,5,870212.7996762642
768,1618,3,1,1959,1,4,340874.6232811248
769,2104,3,3,1984,0,7,451409.4809711031
770,4527,4,2,1951,0,7,898403.5372117123
771,735,5,2,1973,0,9,198659.21988081493
772,2469,5,1,1987,2,9,600564.2006890622
773,4929,3,3,1971,2,5,1062899.029267778
774,2408,2,2,1975,0,8,476966.9362678016
775,875,5,1,1992,1,10,245941.05648799823
776,4030,4,1,2004,0,1,844959.8412339088
777,3135,5,2,1988,2,9,663727.5441240586
778,2070,4,2,1978,1,8,473629.2215424205
779,3060,3,1,1969,2,6,638284.4789553601
780,3891,5,3,1990,1,3,833111.8086328949
781,3465,4,3,2003,2,3,749471.4241491086
782,4143,3,3,1969,1,8,891638.5086964626
783,4350,2,1,1968,1,5,877752.3422257571
784,1372,4,2,2015,1,10,377431.0643911781
785,1752,2,1,1979,1,7,373171.5899458196
786,1814,2,2,2002,2,5,405940.62394306617
787,3398,1,3,1983,2,8,706686.3209428937
788,577,5,3,1971,1,10,185557.6964804336
789,3121,4,2,2016,1,10,728927.0713778214
790,4727,2,2,1955,2,4,976049.1314638924
791,1100,1,1,1976,1,2,241079.3234902556
792,1565,3,3,1959,1,3,368640.6584269345
793,2636,4,1,2022,1,8,645781.7324767867
794,2949,2,1,1997,0,7,641526.9853657566
795,2843,5,1,2019,1,2,691113.9194565738
796,2363,1,3,2008,0,6,528869.8625493657
797,1818,2,1,2008,1,9,441001.3484190839
798,4097,5,1,1951,2,4,852599.97505604
799,4262,2,1,1978,0,9,894261.7196452515
800,2690,4,1,2017,0,2,574383.5478606392
801,1492,4,1,2014,1,2,366271.8455560513
802,3212,4,1,1975,1,9,665969.5719032948
803,2692,1,3,1959,0,7,525408.9155105908
804,1748,4,1,2002,2,7,394408.5769492088
805,3554,5,2,2008,2,1,826606.0146181242
806,4533,2,1,1971,1,6,940711.9831153804
807,2497,3,1,2000,2,7,555012.7033097085
808,4187,5,3,1997,2,6,950877.0053637534
809,2651,5,3,1970,1,6,601083.947569366
810,4518,4,2,1971,2,2,926094.1390762049
811,3610,1,2,1979,1,6,774150.0468123948
812,2470,2,3,1974,0,4,543160.4942000011
813,697,1,3,1977,1,9,202427.97400689824
814,3126,2,1,2014,0,1,708104.0557380343
815,1702,2,3,1994,0,8,402002.4844273374
816,2535,1,2,2017,2,5,533656.3940212176
817,977,5,1,1956,2,1,214146.49100738543
818,1754,2,2,1998,2,4,398823.2673263778
819,1422,1,1,1958,1,1,313266.83650286886
820,919,2,3,1985,2,6,217213.6452196605
821,2704,3,2,1950,0,2,539133.0843265855
822,3097,5,1,1959,2,5,697909.6503581115
823,1620,4,1,1985,2,7,418003.15725851554
824,3568,2,3,2022,1,2,818706.7764361517
825,1450,3,3,1995,1,6,325738.14789058163
826,2836,4,3,1981,0,6,605369.8615424815
827,2743,4,2,1981,1,5,606157.4972713309
828,3145,2,1,1955,2,5,613606.1874695573
829,2357,1,3,1997,1,3,503962.1877251642
830,2365,2,2,1987,0,10,510534.1603835063
831,3412,3,2,1966,2,10,744040.0563316267
832,3353,4,2,1976,0,2,701368.1143168806
833,3728,2,3,2003,1,7,816939.5874308393
834,4219,1,3,1999,1,1,907601.7861704028
835,3728,2,1,1984,0,6,771385.1497807608
836,2871,5,1,1974,2,6,636552.7524853058
837,3391,1,3,1977,1,3,694917.3008745462
838,4256,3,2,1964,1,2,852368.6069601658
839,4725,4,2,1953,2,2,993240.2813625648
840,594,2,2,2022,1,9,158856.84303466187
841,3174,1,1,1976,0,5,678385.989963216
842,2455,5,2,1975,1,7,531945.983279591
843,1293,1,1,1968,1,5,279607.45517641783
844,2334,5,1,1966,2,7,515300.5927029035
845,2616,3,2,1992,0,4,542247.1622628621
846,4606,4,2,1990,2,8,974421.4462019108
847,3825,3,3,1991,1,10,843637.4594569862
848,3419,2,3,1999,1,10,772740.0707275409
849,3097,1,2,1989,2,7,685644.2336178538
850,3705,5,1,1988,2,10,808905.5849604708
851,1314,5,1,1972,2,5,341956.2674322983
852,845,1,1,2001,0,6,222673.0658697626
853,2849,1,1,1996,1,5,604718.223692736
854,862,2,1,2012,2,7,234762.8244790115
855,2943,3,3,2018,1,2,690305.8227623077
856,2765,5,2,1992,0,5,652434.7052233267
857,2688,2,3,1997,0,10,601890.2919093702
858,3505,3,1,1983,0,3,753186.167662594
859,3781,2,1,1989,0,9,792681.5184200833
860,1484,5,1,2010,1,6,360372.9780385626
861,2139,1,1,1999,0,10,422950.9047116141
862,1327,1,2,2016,0,3,312914.00307582016
863,3230,3,1,2011,2,7,734110.0243598827
864,4031,4,2,2007,0,4,899849.5188200921
865,4951,3,1,1982,2,3,1017583.4273609958
866,3435,4,2,1965,0,8,729494.9061684583
867,4376,2,3,1997,0,4,953339.7306451156
868,626,2,1,1959,2,1,113576.5123703764
869,3677,5,2,1987,0,6,847131.2132821754
870,3556,4,3,1968,1,10,796875.0927818617
871,1103,5,1,1985,1,1,280149.1863612468
872,3949,1,1,2008,0,5,833283.0644545743
873,4646,4,1,2012,1,7,1046163.3264236908
874,4033,3,2,1995,2,6,889107.6929684004
875,3867,1,2,1952,0,2,760436.8893623694
876,3868,1,3,2014,0,4,864309.0323581436
877,4297,3,2,1957,2,2,910000.3859570916
878,2292,1,2,2000,2,1,512734.7788937932
879,3361,4,1,2022,2,3,762769.5055574658
880,3976,5,1,1955,0,3,827432.4143465807
881,3917,1,1,1988,2,7,780363.0627911759
882,2145,4,1,2009,2,1,524818.9633293215
883,1705,2,1,1977,1,9,354744.6305953098
884,3530,4,1,2003,1,6,754662.1768906609
885,3372,5,1,1986,0,4,733900.7559066785
886,3572,4,3,1958,1,3,729385.5524036873
887,2354,3,3,2005,1,3,556236.7348047679
888,4521,5,3,2008,2,2,1039730.2135109294
889,3208,2,3,1951,2,2,672640.7862957919
890,4002,3,1,2010,1,10,860129.7292090545
891,1832,4,3,2007,1,5,432387.0410257919
892,701,5,1,2009,1,9,246717.9663664509
893,4007,2,3,1989,0,2,897176.5668201512
894,4712,3,2,1985,0,2,976572.7481782682
895,1074,2,3,1986,0,6,251724.67925135957
896,1036,4,3,1967,1,10,238220.4845448509
897,2125,2,1,2012,1,2,514184.1816653132
898,2622,1,3,1971,0,4,561747.2624036099
899,885,3,2,1960,0,6,194353.7361399757
900,3781,2,1,2007,1,5,826587.7969711117
901,974,4,1,2006,2,1,280961.6803897855
902,917,4,3,1953,0,6,191907.6525048871
903,4100,2,1,1956,1,1,809712.7379333257
904,1454,4,1,2010,1,3,369854.9244932172
905,1705,5,1,2003,2,10,400306.9574091656
906,4620,5,1,2017,1,5,985628.9692003924
907,2490,5,1,1950,1,10,567376.4006946473
908,4072,1,1,2004,0,5,889695.2695039134
909,4880,2,2,1952,0,10,1004325.3931894517
910,4658,1,3,1987,2,6,1021278.340082141
911,3213,4,2,1950,2,10,665309.7683934513
912,2703,1,1,1987,1,8,576620.3718535388
913,3620,4,1,1978,0,5,738643.2007694525
914,1466,4,3,1954,2,1,343678.93524860224
915,3932,3,2,1970,2,5,865263.3836358162
916,1188,5,3,2020,2,3,342365.20713846444
917,4743,4,2,2016,1,4,1037911.6519852468
918,4201,3,1,1996,0,8,876992.62965777
919,841,5,3,1984,2,7,238047.5927999937
920,2224,4,3,2017,0,5,518166.38138878136
921,4922,4,1,2018,2,2,1108236.8362913695
922,2292,1,3,1950,2,6,483905.9983899615
923,2259,1,2,2017,0,6,509733.85039647983
924,3712,5,2,1961,0,10,747938.7115439639
925,1489,4,2,2009,0,10,347769.0613211003
926,2762,2,2,1976,1,6,619407.6279156839
927,2982,1,1,2005,2,9,646118.3979191775
928,1451,5,3,1972,1,8,338786.44407016825
929,1222,4,2,1974,0,8,291123.86737050366
930,3889,4,1,1970,2,1,796470.173239297
931,2579,2,3,2010,1,5,603812.5887922472
932,3217,5,3,2012,2,7,779867.2165969982
933,2832,4,1,2001,1,6,656065.8419892447
934,3876,1,1,1974,0,5,793323.8127937265
935,2000,2,2,2004,1,8,448879.5107617519
936,785,5,3,1995,2,3,262707.27893308154
937,3995,2,3,1981,2,6,872258.3925462884
938,2565,1,1,2004,2,5,530476.1232749791
939,1268,5,3,1954,2,8,321199.3469094537
940,3557,2,2,1985,0,4,730405.6620242158
941,4789,3,3,1998,1,8,1033816.8247013512
942,2661,1,1,2007,0,10,564747.6546436538
943,3793,1,1,1988,0,2,804450.0990071343
944,1446,1,2,2010,0,9,316282.80679770344
945,3835,3,2,1958,2,9,806269.4033782159
946,4650,3,3,1955,2,10,988234.6180212416
947,1981,4,3,1984,2,10,489595.4124613424
948,2401,2,1,1988,1,6,504682.30124801846
949,3951,4,2,1971,2,4,851472.5994111879
950,4564,2,2,1990,1,4,991703.3944221088
951,554,3,2,1954,2,6,120795.5523667112
952,2323,3,3,1991,2,5,511645.2377877411
953,3962,4,2,2016,0,6,868356.2431862867
954,3579,5,1,1979,0,7,765780.0440479134
955,1332,4,1,2006,0,7,317780.5942863934
956,4908,2,3,2022,1,9,1058290.680940349
957,3306,4,3,1978,1,8,708003.0797050629
958,2990,1,2,1986,2,6,663456.3939054122
959,827,2,3,1962,1,6,198773.4757127592
960,3810,2,1,1981,2,5,821117.7482116626
961,3800,5,2,1995,1,1,888184.3038431654
962,4175,3,1,1972,1,9,869924.3421379088
963,3554,2,2,1994,1,9,734201.4615779822
964,2643,3,3,1966,0,9,530326.7865334606
965,1811,4,2,2015,1,8,436325.0761836845
966,3691,1,2,1955,0,10,758140.6272517709
967,3038,5,1,1967,0,3,647006.812552705
968,4483,3,1,1971,1,1,921002.248222852
969,664,2,2,1982,2,8,170024.87591657112
970,4777,3,3,1979,2,7,1009807.4390560028
971,1322,2,3,1981,2,5,345655.79485490214
972,1443,3,1,1991,1,10,320689.2188217977
973,4925,2,3,1959,2,7,1034380.2041616676
974,1274,4,1,1985,0,10,304653.63604893
975,2698,2,3,1983,2,4,571367.8252792631
976,3656,2,2,2022,1,9,856066.3005338378
977,4742,1,1,1977,2,10,931856.9695152728
978,4195,2,1,1960,0,2,882532.5489330415
979,3952,1,2,1988,1,9,875163.0460692297
980,1414,5,1,1996,2,9,372292.6033923184
981,1808,1,3,1968,1,5,402330.051233892
982,4677,4,3,1964,1,1,965304.8489878176
983,1013,1,1,1977,1,7,248621.82614873743
984,2420,5,3,1973,2,10,560889.7929688855
985,4094,4,1,2021,1,10,933332.7201261588
986,1909,3,2,1958,2,4,453579.1055342158
987,3690,3,1,1996,0,9,814843.6877321303
988,4991,1,2,1982,2,6,1037268.0434280155
989,2055,1,3,2011,0,3,460741.2339285246
990,1304,5,2,1968,2,6,357477.332666952
991,1779,5,3,2016,1,10,480192.2452357916
992,4077,2,1,1989,2,6,886451.6346786668
993,3401,5,3,1996,1,5,786584.6102391081
994,1887,2,1,2014,0,2,439793.0780082437
995,3261,4,1,1978,2,10,701493.9970692651
996,3179,1,2,1999,1,10,683723.1607044176
997,2606,4,2,1962,0,2,572024.023634332
998,4723,5,2,1950,0,7,964865.2986386952
999,3268,4,2,1983,2,2,742599.2533323644
